Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
Massachusetts General Hospital; University of British Columbia; Sanotize Research and Development,Treatment,Other,Clinical,Massachusetts General Hospital Phase II trial ongoing July 2020; other Phase II trials recruiting July 2020,Nitric oxide,"NCT04305457, NCT04312243, NCT04306393, NCT03331445, NCT04443868, NCT04337918, NCT04456088, NCT04421508, NCT04383002, NCT04388683, NCT04338828, EudraCT 2020-001490-68, EudraCT 2020-001329-30, NCT04460183, NCT04443868, NCT04306393, NCT04476992",Unknown,,,FDA-approved since 1999; approved to improve oxygenation in neonates,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/14/2020
"Multiple global research sponsors
",Treatment,Other,Clinical,Gates Foundation trial results expected by end of summer 2020; Phase III trials began Oct 2020 in Canada,"Cozaar (losartan), angiotensin II receptor blocker (ARB)
","NCT04312009, NCT04311177, NCT04349410, NCT04335123, NCT04343001, NCT04328012, NCT04340557, NCT04447235, NCT04428268, EudraCT 2020-001766-11, NCT04394117, NCT04467931, ISRCTN48734830, EudraCT 2020-002040-22, NCT04606563, https://clinicaltrials.gov/ct2/show/NCT04643691?term=Cozaar&cond=COVID&draw=2&rank=3","COVID-19 Treatment Accelerator 
",,,FDA-approved since 1995; approved to treat hypertension and diabetic nephropathy,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/30/2020
Amgen; I-SPY COVID trial/Takeda/AbbieVie   ,Treatment,Other,Clinical, I-SPY COVID-19 TRIAL: An Adaptive Platform Trial for Critically Ill Patients (I-SPY_COVID) starts July 2020. Enrolling patients August 2020. First patients enrolled Dec 2020.,"Otezla (apremilast), inhibitor of phosphodiesterase 4 (PDE4)",NCT04488081,Unknown,,,"FDA-approved since 2014, approved to treat psoriatic arthritis, severe plaque psoriasis, and oral ulcers associated with Behcet's Disease",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/2/2020
"Immunic, Inc./University Hospitals Coventry and Warwickshire NHS Trust",Treatment,Other,Clinical,"Phase II trial started June 2020, top line results expected in 2020, Recruiting Aug 2020 (IMU 838 +Oseltamivir); ; Phase II enrollment began Oct 2020","IMU-838, selective oral dihydroorotate dehydrogenase (DHODH) inhibitor","NCT04516915, EudraCT 2020-001805-21, NCT04379271",University Hospitals Coventry and Warwickshire NHS Trust,,Ulcerative colitis; remitting multiple sclerosis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/13/2020
Numerous research sponsors globally,Treatment,Other,Clinical,Open-label Greek study results published June 2020,colchicine,"NCT04326790, NCT04328480, NCT04322565, NCT04322682, NCT04392141, NCT04375202, NCT04355143, NCT04360980, NCT04350320, NCT04416334, NCT04403243, NCT04363437, NCT04324463, NCT04367168, EudraCT 2020-001511-25, EudraCT 2020-001258-23, EudraCT 2020-001603-16, EudraCT 2020-001475-33, EudraCT 2020-001689-12, EudraCT  2020-001841-38, EudraCT 2020-001455-40, NCT04472611, NCT04516941, NCT04510038, NCT04527562, NCT04539873 ",Unknown,"JAMA Network Open (https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2767593), medRxiv (https://doi.org/10.1101/2020.08.06.20169573)",,"N/A (but has been used in the US since the early 1800s, and FDA-approved in combination with probenecid; approved to treat gout)",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/30/2020
Innovation Pharmaceuticals,Treatment,Other,Clinical,Phase II trial anticipated to start Q4 2020,"Brilacidin, a defensin mimetic",,Unknown,,Oral Mucositis; Ulcerative Proctitis/Ulcerative Proctosigmoiditis; Acute Bacterial Skin and Skin Structure Infection,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/7/2020
Arch Biopartners,Treatment,Other,Clinical,FDA and Health Canada approved Phase II trial start in July 2020; Phase II trials approved to begin patient enrollment in Turkey Oct 2020; first patient dosed for Phase II trials in Turkey and US (Louisiana),"Metablok (LSALT peptide), selective dipeptidase-1 antagonist",NCT04402957,Unknown,,Lung and Kidney Inflammation,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/10/2020
"Multiple global research sponsors, including University of Tokyo/ National Center for Global Health and Medicine/ Ensysce Biosciences/ Institut Pasteur Korea/ Daiichi Sankyo (inhalation formulation)/ University of Edinburgh ",Treatment,Other,Clinical,University of Tokyo trial (IV formulation) starts April 2020; Ensysce trial will be with oral formulation,"nafamostat, approved in Japan to treat pancreatitis and other diseases","NCT04352400, NCT04418128, EudraCT 2020-002230-32, NCT04473053, ISRCTN14212905, https://clinicaltrials.gov/ct2/show/NCT04628143?term=nafamostat&cond=COVID&draw=2&rank=4, https://clinicaltrials.gov/ct2/show/NCT04623021?term=nafamostat&cond=COVID&draw=2&rank=5",Life Arc (University of Edinburgh),Critical Care (https://doi.org/10.1186/s13054-020-03078-z),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/30/2020
OncoImmune,Treatment,Other,Clinical,Phase III trial progress report released in June 2020,"CD24Fc, biological immunomodulator (nonpolymorphic regions of CD24 attached to the Fc region of human IgG1)",NCT04317040,Merck,(https://www.businesswire.com/news/home/20200614005028/en/OncoImmune-Reports-Progress-Phase-III-Clinical-Trial),Graft versus Host Disease,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/25/2020
PharmaMar/ Boryung Pharmaceutical/ Hospitals in Spain,Treatment,Other,Clinical,Phase I trial recruiting July 2020; Trials in Korea to start 3Q 2020,"Aplidin (plitidepsin), approved in Australia to treat multiple myeloma",NCT04382066,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/22/2020
Cyclacel Pharmaceuticals / University of Edinburgh,Treatment,Other,Clinical,Unknown,"fadraciclib (CYC065), cyclin-dependent kinase (CDK)2/9 inhibitor",,LifeArc,,Various cancers,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/23/2020
NeuroRx/ Relief Therapeutics/ Thomas Jefferson University Hospital/ NYU Langone Health/ Houston Methodist Hospital,Treatment,Other,Clinical,Phase II/III trial ongoing July 2020; FDA grants Fast Track Designation June 2020; Expanded access protocols ,"Aviptadil, synthetic form of Vasoactive Intestinal Polypeptide (RLF-100)","NCT04311697, NCT04453839, NCT04360096, NCT04536350",Unknown,European Biotechnology (https://european-biotechnology.com/up-to-date/latest-news/news/drug-set-to-rescue-covid-19-patients-at-icus.html,"Sarcoid, Pulmonary Fibrosis, Bronchospasm, Erectile Dysfunction, and Acute Respiratory Distress Syndrome (ARDS)",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/3/2020
Apeptico/ Medical University Vienna,Treatment,Other,Clinical,Phase II trials ongoing July 2020; Individual expanded access in Austria April 2020,solnatide (synthetic molecule with a structure based on the lectin-like domain of human Tumour Necrosis Factor alpha),EudraCT 2020-001244-26,EU Commission (Horizon 2020 Program),,"Pneumonia, sepsis, ARDS, Primary Graft Dysfunction, and pulmonary dysfunctions",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/21/2020
Panoptes Pharma GmbH,Treatment,Other,Clinical,Unknown,PP-001,,Unknown,,Severe eye diseases,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
4D Pharma,Treatment,Other,Clinical,Phase II enrolling July 2020,"MRx-4DP0004, strain of Bifidobacterium breve isolated from the gut microbiome of a healthy human","NCT04363372, EudraCT 2020-001597-30",Unknown,,Asthma,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
ARMS Pharmaceutical / UH Cleveland Medical Center / Case Western Reserve University,Treatment,Other,Clinical,Trial starts April 2020,ARMS-1,https://clinicaltrials.gov/ct2/show/NCT04644276?term=ARMS-1&cond=COVID&draw=2&rank=3,Cleveland Foundation,,Influenza prophylaxis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/30/2020
Blade Therapeutics,Treatment,Other,Clinical,Enrollment completed for Phase II trials ,"BLD-2660, synthetic small molecule inhibitor of calpain (CAPN) 1, 2, and 9",NCT04334460,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/17/2020
Laurent Pharmaceuticals,Treatment,Other,Clinical,"Phase II trial recruiting July 2020, FDA approval to start enrollment August 2020",LAU-7b (fenretinide),NCT04417257,Unknown,,Treat exaggerated inflammatory response in adult cystic fibrosis patients,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/28/2020
ImmunityBio/ NantKwest,Treatment,Other,Clinical,Phase Ib trial to start June 2020,"N-803, IL-15 ""superagonist"" (Nogapendekin alfa inbakicept)",NCT04385849,Unknown,https://nantkwest.com/immunitybio-announces-publication-of-preclinical-data-demonstrating-il-15-superagonist-n-803-improves-natural-killer-mediated-tumor-cell-killing/,Bladder Carcinoma In Situ,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/3/2020
Institut National de la Sante et de la Recherche Medicale (Merck KGaA); IRCCS San Raffaele; WHO global SOLIDARITY Trial,Treatment,Other,Clinical,Phase III trial recruiting May 2020,Rebif (interferon beta-1a),"EudraCT 2020-000936-23, NCT04315948, 2020-001366-11 (Solidarity Spain), NCT04350671, NCT04449380, 2020-002060-31 (Solidarity Chech Republic), EudraCT 2015-002340-14 (REMAP-CAP), NCT04460547, EudraCT 2020-001549-38 (Solidarity Germany), NCT04647669",Unknown,,,FDA-approved since 2002; approved to treat multiple sclerosis,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/7/2020
Chelation Partners,Treatment,Other,Pre-clinical,Unknown,"DIBI, iron-binding polymer",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/15/2020
KD Pharma / SLA Pharma,Treatment,Other,Clinical,Unknown,"EPAspire, oral formulation of highly purified eicosapentaenoic acid free fatty acid (EPA-FFA) in gastro-resistant capsules",,Unknown,,Familial adenomatous polyposis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"MediciNova/ Yale
",Treatment,Other,Clinical,Phase II trial FDA approved and not yet recruiting July 2020  ,"MN-166 (ibudilast), orally bioavailable, small molecule macrophase migration inhibitory factor (MIF) inhibitor and phosphodiesterase (PDE) -4 and -10 inhibitor",NCT04429555,Unknown,,"Treatment of numerous neurodegenerative diseases and substance dependence
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/28/2020
Aldeyra Therapeutics,Treatment,Other,Clinical,IND submission to FDA in June 2020; FDA approval to begin Phase II trials in Sept 2020; Phase II trials to begin 4th qtr 2020,"ADX-629, orally available reactive aldehyde species (RASP) inhibitor",,Unknown,,Systemic immune-mediated diseases,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/6/2020
AstraZeneca; ACCORD study/Rigel Pharmaceuticals,Treatment,Other,Clinical,Case series results released June 2020; ACCORD Phase II trial to start May 2020; Phase 2 trial (fostamatinib) starts Sept 2020,"Calquence (acalabrutinib), Bruton's tyrosine kinase (BTK) inhibitor","NCT04346199, NCT04380688, EudraCT 2020-001736-95 (ACCORD Trial), EudraCT 2020-001644-25, NCT04497948","UK Government (ACCORD study)
",Science Immunology (https://immunology.sciencemag.org/content/5/48/eabd0110),,"FDA-approved since 2017, approved to treat mantle cell lymphoma and chronic lymphocytic leukemia",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/22/2020
CalciMedica,Treatment,Other,Clinical,Open label phase II trial top line data released July 2020; Phase II trial recruiting July 2020,"Auxora (CM4620-IE), calcium release-activated calcium (CRAC) channel inhibitor",NCT04345614,Unknown,"CalciMedica (https://www.calcimedica.com/news/calcimedica-announces-positive-topline-data-from-interim-analysis-of-trial-evaluating-auxora-in-patients-with-severe-covid-19-pneumonia), CalciMedica (https://calcimedica.com/2020/07/16/calcimedica-announces-data-showing-auxora-substantially-improved-outcomes-in-patients-with-severe-covid-19-pneumonia/), Research Square (https://www.researchsquare.com/article/rs-42600/v1), Critical Care (https://ccforum.biomedcentral.com/articles/10.1186/s13054-020-03220-x)",Pancreatitis,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/25/2020
Pneumagen Ltd.,Treatment,Other,Pre-clinical,Unknown,"Neumifil, multivalent carbohydrate binding molecules",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
"Multiple global research sponsors
",Treatment,Other,Clinical,Veterans observational study ongoing July 2020; Phase IV trials recruiting July 2020,"Diovan (valsartan), angiotensin II receptor blocker (ARB)","NCT04335786, NCT04330300, NCT04394117, NCT04467931, EudraCT 2020-001544-26, EudraCT 2020-001431-27",Unknown,,,"FDA-approved since 1996; approved to treat hypertension, treat heart failure, and reduce cardiovascular mortality in patients after myocardial infarction",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/21/2020
"RedHill Biopharma
",Treatment,Other,Clinical,"Phase II/III trials in Russia and UK to start in July 2020; Phase IIa in US ongoing in July 2020; Preliminary data from individual patient expanded access released in April 2020; ; Phase II/III approved for trials in Mexico, UK, Italy, and Russia","Yeliva (opaganib, ABC294640), oral sphingosine kinase-2 (SK2) selective inhibitor
","NCT04435106, NCT04414618, NCT04467840, EudraCT 2020-002677-95",Unknown,"RedHill Biopharma (https://www.redhillbio.com/RedHill/Templates/showpage.asp?DBID=1&LNGID=1&TMID=178&FID=2432&PID=0&IID=15258), RedHill Biopharma (https://www.redhillbio.com/RedHill/Templates/showpage.asp?DBID=1&LNGID=1&TMID=178&FID=2432&PID=0&IID=15257), RedHill Biopharma (https://www.redhillbio.com/RedHill/Templates/showpage.asp?DBID=1&LNGID=1&TMID=178&FID=2432&PID=0&IID=15261), medRxiv (https://doi.org/10.1101/2020.06.20.20099010), RedHill Biopharma (https://www.redhillbio.com/RedHill/Templates/showpage.asp?DBID=1&LNGID=1&TMID=178&FID=2432&PID=0&IID=16269)","Various oncology indications
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/30/2020
Moleculin Biotech/ University of Texas Medical Branch/ Sterling Pharma USA,Treatment,Other,Pre-clinical,Unknown,"WP1122, glucose decoy prodrug (and related drug candidates)",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/30/2020
Swedish Orphan Biovitrum/ REMAP-CAP global trial/ Numerous global trial sponsors ,Treatment,Other,Clinical,Some trial results released June 2020,"Kineret (anakinra), interleukin-1 receptor antagonist","NCT04324021, NCT02735707, NCT04339712, NCT04330638, NCT04366232, NCT04443881, NCT04462757, EudraCT 2020-001636-95, EudraCT 2020-001825-29, EudraCT 2020-001734-36, EudraCT 2020-001466-11, EudraCT 2020-001754-21, EudraCT 2020-001963-10, EudraCT 2020-001739-28, EudraCT 2020-001500-41, EudraCT 2020-001246-18, EudraCT 2020-001039-29, EudraCT 2015-002340-14 (REMAP-CAP)",Unknown,"medRxiv (https://doi.org/10.1101/2020.04.23.20076612), Lancet (https://www.thelancet.com/journals/lanrhe/article/PIIS2665-9913(20)30164-8/fulltext), medRxiv (https://doi.org/10.1101/2020.06.15.20132407), Lancet Rheum (https://doi.org/10.1016/S2665-9913(20)30127-2), Lancet Rheum (10.1016/S2665-9913(20)30177-6), Int'l J Infect Dis (10.1016/j.ijid.2020.05.026)",,"FDA-approved since 2001, approved to treat rheumatoid arthritis and cryopyrin-associated periodic syndromes",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/25/2020
Persephone Biosciences,Treatment,Other,Pre-clinical,Clinical trials to start in 2020,Microbiome therapeutic,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/30/2020
Silkim Pharma,Treatment,Other,Pre-clinical,Unknown,"Coronzot, a novel family of drugs, sequestration of the labile iron",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/1/2020
BerGenBio; ACCORD study,Treatment,Other,Clinical,"ACCORD trial started June 2020, top line data expected summer 2020 ","bemcentinib, selective AXL kinase inhibitor",EudraCT 2020-001736-95 (ACCORD Trial),UK Government (ACCORD study),,Various cancers ,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/25/2020
NanoViricides/ TheraCour Pharma Inc.,Treatment,Other,Pre-clinical,Unknown,A number of synthesized nanoviricide drug candidates,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/28/2020
"Numerous trials with global research sponsors including World Health Organization SOLIDARITY trial; ORCHID trial with National Heart, Lung, and Blood Institute (NHLBI); REMAP-CAP global trial; Novartis; PRINCIPLE trial",Treatment,Other,Clinical,"Brazilian study results released July 2020; Univ. of Minnesota early, mild outpatient trial results released July 2020; Prevention studies continue in Asia; NIH study stopped in June 2020; Novartis discontinues trial due to feasibility of recruitment in June 2020; WHO discontinues hydroxychloquine arm in the SOLIDARITY trial July 2020; FDA revoked the March 28, 2020 Emergency Use Authorization on June 15, 2020; RECOVERY trial prelim results released June 2020, trial arm stopped","Chloroquine/ Hydroxychloroquine, antimalarial","Over 50 trials registered at Clinicaltrials.gov, including: NCT04261517, NCT04303507, NCT04303299, NCT04304053, NCT04307693, NCT04316377, NCT04315948, NCT04321993, ECT2020-001113-21, NCT04323527, NCT04333732, NCT04332991, NCT04345419, NCT04341870, NCT04345289, NCT02735707, NCT04351347, NCT04341493, NCT04332094, NCT04349410, NCT04286503, NCT04328012, NCT04346147, NCT04428268, NCT04350671, EudraCT 2020-001303-16, EudraCT 2020-001825-29, EudraCT 2020-00124618, EudraCT 2015-002340-14 (REMAP-CAP), EudraCT 2020-001367-88, EudraCT number: 2020-00132131, EudraCT 2020-001357-52, NCT04434144, EudraCT 2020-001449-38, NCT04460547, NCT04446104, ISRCTN83971151 (Solidarity), EudraCT 2020-001366-11 (Solidarity Spain), EudraCT 2020-000982-18 (Norway Solidarity), NCT04381936 (RECOVERY), NCT04386070, NCT04330690, NCT04321616, EudraCT 2020-001448-24, EudraCT 2020-001723-13, EudraCT 2020-001528-32, NCT04435587, NCT04308668, NCT04376814, NCT04411433, NCT04392973, NCT04359615, NCT04387760, NCT04322123, EudraCT 2020-001605-23, NCT04365764, EudraCT 2020-001971-33",COVID-19 Treatment Accelerator (University of Washington/ NYU trial and Mahidol Oxford Tropical Medicine Research Unit trial); UK Government (University of Oxford RECOVERY trial and PRINCIPLE trial); Life Arc (PIONEER trial),"NCT04261517 (https://clinicaltrials.gov/ct2/show/NCT04261517?draw=5+%28prelim+outcomes%3F%29), IHU-Méditerranée Infection (https://www.mediterranee-infection.com/wp-content/uploads/2020/03/Hydroxychloroquine_final_DOI_IJAA.pdf), Journal of ZheJiang University (Medical Sciences) (http://www.zjujournals.com/med/CN/10.3785/j.issn.1008-9292.2020.03.03), medRxiv (https://doi.org/10.1101/2020.03.22.20040758), Int'l Journal of Antimicrobial Agents (https://doi.org/10.1016/j.ijantimicag.2020.105949), medRxiv (ChiCTR2000029559) (https://doi.org/10.1101/2020.04.10.20060558), medRxiv (https://doi.org/10.1101/2020.03.22.20040949), medRxiv (https://doi.org/10.1101/2020.04.02.20047050), medRxiv (https://doi.org/10.1101/2020.03.31.20048777), medRxiv (https://doi.org/10.1101/2020.03.24.20042366), medRxiv (NCT04323527) (https://doi.org/10.1101/2020.04.07.20056424), medRxiv (https://doi.org/10.1101/2020.04.08.20057539), medRxiv (https://doi.org/10.1101/2020.04.08.20054551), ScienceDirect (https://www.sciencedirect.com/science/article/pii/S0399077X20300858?via%3Dihub), ISAC (https://www.isac.world/news-and-publications/official-isac-statement), ScienceDirect (https://www.sciencedirect.com/science/article/pii/S0924857920300996), medRxiv (https://doi.org/10.1101/2020.04.10.20060699), medRxiv (ChiCTR2000029868) (https://doi.org/10.1101/2020.04.10.20060558), medRxiv (https://doi.org/10.1101/2020.04.14.20065276), medRxiv (https://doi.org/10.1101/2020.04.16.20065920), medRxiv (https://doi.org/10.1101/2020.04.16.20068205), medRxiv (https://doi.org/10.1101/2020.04.22.20075671), medRxiv (https://doi.org/10.1101/2020.04.21.20066761), medRxiv (https://doi.org/10.1101/2020.04.26.20081059), medRxiv (https://doi.org/10.1101/2020.04.27.20082180), medRxiv (https://doi.org/10.1101/2020.04.27.20073379), medRxiv (https://doi.org/10.1101/2020.04.27.20074583), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2012410), medRxiv (https://doi.org/10.1101/2020.05.02.20080036), medRxiv (https://doi.org/10.1101/2020.05.02.20088872), JAMA (https://jamanetwork.com/journals/jama/fullarticle/2766117), medRxiv (https://doi.org/10.1101/2020.05.07.20093831), medRxiv (https://doi.org/10.1101/2020.05.07.20094326), medRxiv (https://doi.org/10.1101/2020.05.05.20088757), BMJ (https://www.bmj.com/content/369/bmj.m1849), BMJ (https://www.bmj.com/content/369/bmj.m1844), medRxiv (https://doi.org/10.1101/2020.05.14.20101774), medRxiv (https://doi.org/10.1101/2020.05.12.20099028), medRxiv (https://doi.org/10.1101/2020.05.13.20094193), The Lancet (retracted) (https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31180-6/fulltext), Lancet correction (https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31249-6/fulltext), Lancet concern (https://www.thelancet.com/journals/lanpub/article/PIIS0140-6736(20)31290-3/fulltext), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2016638), Lancet retraction (https://www.thelancet.com/lancet/article/s0140673620313246), medRxiv (https://doi.org/10.1101/2020.05.18.20066902), medRxiv (https://doi.org/10.1101/2020.05.21.20109207), medRxiv (https://doi.org/10.1101/2020.06.11.20126359), medRxiv (https://doi.org/10.1101/2020.06.05.20123299), medRxiv (https://doi.org/10.1101/2020.06.05.20122705), medRxiv (https://doi.org/10.1101/2020.06.09.20116806), medRxiv (https://doi.org/10.1101/2020.06.10.20101105), medRxiv (https://doi.org/10.1101/2020.06.03.20121558), medRxiv (https://doi.org/10.1101/2020.05.27.20114066), medRxiv (https://doi.org/10.1101/2020.05.28.20114835), medRxiv (https://doi.org/10.1101/2020.06.01.20118901), medRxiv (https://doi.org/10.1101/2020.05.28.20115741), medRxiv (https://doi.org/10.1101/2020.05.19.20106906), medRxiv (https://doi.org/10.1101/2020.06.15.20132407), medRxiv (https://doi.org/10.1101/2020.06.16.20132597), medRxiv (https://doi.org/10.1101/2020.06.17.20133884), medRxiv (https://doi.org/10.1101/2020.06.16.20133066), medRxiv (https://doi.org/10.1101/2020.06.16.20132878), J of Critical Care (https://doi.org/10.1016/j.jcrc.2020.03.005), medRxiv (https://doi.org/10.1101/2020.06.19.20136093), medRxiv (https://doi.org/10.1101/2020.06.19.20135475), medRxiv (https://doi.org/10.1101/2020.06.23.20137992), medRxiv (https://doi.org/10.1101/2020.06.26.20056507), medRxiv (https://doi.org/10.1101/2020.06.24.20139386), WHO (https://www.who.int/news-room/detail/04-07-2020-who-discontinues-hydroxychloroquine-and-lopinavir-ritonavir-treatment-arms-for-covid-19), It'l J Infectious Disease (ttps://doi.org/10.1016/j.ijid.2020.06.099), The Lancet (https://doi.org/10.1016/S0140-6736(20)31528-2), Annals Internal Med (https://doi.org/10.7326/M20-4207), Clinical Infect Dis (https://doi.org/10.1093/cid/ciaa1009), NEJM (10.1056/NEJMoa2019014), medRxiv (https://doi.org/10.1101/2020.07.20.20157651), medRxiv (https://doi.org/10.1101/2020.07.16.20155531), medRxiv (https://doi.org/10.1101/2020.07.17.20155960), medRxiv (https://doi.org/10.1101/2020.07.15.20151852), medRxiv (https://doi.org/10.1101/2020.07.12.20150110), medRxiv (https://doi.org/10.1101/2020.07.08.20148841), medRxiv (https://doi.org/10.1101/2020.07.06.20147470), medRxiv (https://doi.org/10.1101/2020.07.04.20146548), medRxiv (https://doi.org/10.1101/2020.07.04.20146381), NCT04627467 (https://clinicaltrials.gov/ct2/show/NCT04627467?term=Chloroquine&cond=COVID&draw=2&rank=3)",,"FDA-approved since 1949; approved to treat malaria (chloroquine), FDA-approved since at least 1955, approved to treat malaria, rheumatoid arthritis, and lupus (hydroxychloroquine)",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/1/2020
